pais,nombre,puntos,precio,provincia,region_1,region_2,variedad,vina,titulo_resena
Italia,Gallina,90,51.0,Piedmont,Barbaresco,,Nebbiolo,Negro Giuseppe,Negro Giuseppe 2012 Gallina  (Barbaresco)
Estados Unidos,Vin de Glace,90,32.0,California,Lake County,,Muscat,Mt. Konocti Winery,Mt. Konocti Winery 2015 Vin de Glace Muscat (Lake County)
Estados Unidos,,87,20.0,California,Sonoma Valley,Sonoma,Syrah,Peter Cellars,Peter Cellars 2006 Syrah (Sonoma Valley)
Francia,,86,12.0,Rhône Valley,Côtes du Rhône,,Ensamblaje Tinto Tipo Rhône,Château de Farel,Château de Farel 2014 Red (Côtes du Rhône)
Argentina,Piedra Negra Pinot Gris Alta Colección,85,12.0,Mendoza,Uco Valley,,Rosado,François Lurton,François Lurton 2015 Piedra Negra Pinot Gris Alta Colección Rosado (Uco Valley)
Estados Unidos,,86,34.0,California,Sonoma County,Sonoma,Zinfandel,Falcor,Falcor 2004 Zinfandel (Sonoma County)
Estados Unidos,John Sebastiano Vineyard,94,55.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Byron,Byron 2014 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills)
Chile,,88,12.0,Valle de Casablanca,,,Sauvignon Blanc,Root:1,Root:1 2011 Sauvignon Blanc (Casablanca Valley)
Estados Unidos,Mimi,89,20.0,Washington,Horse Heaven Hills,Columbia Valley,Chardonnay,Chateau Ste. Michelle,Chateau Ste. Michelle 2014 Mimi Chardonnay (Horse Heaven Hills)
Estados Unidos,,85,18.0,California,Mendocino County,,Sangiovese,Monte Volpe,Monte Volpe 2010 Sangiovese (Mendocino County)
Estados Unidos,Royal Cuvée,93,35.0,California,Carneros,Napa-Sonoma,Sparkling Blend,Gloria Ferrer,Gloria Ferrer 2001 Royal Cuvée Sparkling (Carneros)
Italia,Sandrina,85,24.0,Piedmont,Langhe,,Nebbiolo,Prinsi,Prinsi 2011 Sandrina Nebbiolo (Langhe)
Alemania,Kabinett Trocken,86,28.0,Rheingau,,,Riesling,August Kesseler,August Kesseler 2009 Kabinett Trocken Riesling (Rheingau)
Italia,,91,31.0,Tuscany,Chianti Classico,,Ensamblaje Tinto,Quercia al Poggio,Quercia al Poggio 2010  Chianti Classico
Italia,,91,20.0,Northeastern Italy,Alto Adige Valle Isarco,,Pinot Grigio,Abbazia di Novacella,Abbazia di Novacella 2013 Pinot Grigio (Alto Adige Valle Isarco)
Italia,Anterisio,87,14.0,Piedmont,Roero,,Arneis,Cascina Chicco,Cascina Chicco 2015 Anterisio  (Roero)
Estados Unidos,Rancher's,89,20.0,Washington,Columbia Valley (WA),Columbia Valley,Ensamblaje Tinto,Copper Belt,Copper Belt 2012 Rancher's Red (Columbia Valley (WA))
Eslovenia,Tradition Rizling Brut,87,36.0,Slovenia,,,Riesling,Vino Kupljen,Vino Kupljen NV Tradition Rizling Brut Riesling (Slovenia)
Portugal,Quinta do Cardo Branco,89,13.0,Beira Interior,,,Siria,Companhia das Quintas,Companhia das Quintas 2013 Quinta do Cardo Branco Siria (Beira Interior)
Portugal,Tinto,90,36.0,Douro,,,Portuguese Red,Van Zellers,Van Zellers 2013 Tinto Red (Douro)
Francia,Domaine Mas Belles Eaux,86,12.0,Languedoc-Roussillon,Pays d'Oc,,Rosé,Mas Belles Eaux,Mas Belles Eaux 2015 Domaine Mas Belles Eaux Rosé (Pays d'Oc)
Italia,La Corte del Pozzo,86,25.0,Veneto,Valpolicella Ripasso,,"Corvina, Rondinella, Molinara",Gino Fasoli,Gino Fasoli 2010 La Corte del Pozzo  (Valpolicella Ripasso)
Estados Unidos,Blanc des Coteaux,91,21.0,Washington,Yakima Valley,Columbia Valley,Ensamblaje Blanco Tipo Rhône,Olsen Estates,Olsen Estates 2008 Blanc des Coteaux White (Yakima Valley)
Italia,Mandolara,92,20.0,Lombardy,Lugana,,Turbiana,Le Morette,Le Morette 2015 Mandolara  (Lugana)
Estados Unidos,,87,42.0,Washington,Wahluke Slope,Columbia Valley,Syrah,La Chanterelle,La Chanterelle 2012 Syrah (Wahluke Slope)
Italia,Rocca Sveva,87,15.0,Veneto,Soave Classico,,Garganega,Cantina di Soave,Cantina di Soave 2010 Rocca Sveva  (Soave Classico)
España,Gran Reserva Brut Nature,90,35.0,Catalonia,Cava,,Sparkling Blend,Castellroig,Castellroig 2009 Gran Reserva Brut Nature Sparkling (Cava)
Estados Unidos,Christensen Family Vineyard,91,27.0,California,Russian River Valley,Sonoma,Syrah,Novy,Novy 2009 Christensen Family Vineyard Syrah (Russian River Valley)
Argentina,Sol Huarpe,83,17.0,Otra,Zonda Valley,,Malbec,Xumek,Xumek 2007 Sol Huarpe Malbec (Zonda Valley)
Estados Unidos,Moscato,87,15.0,California,Paso Robles,Central Coast,Muscat Canelli,Maddalena,Maddalena 2012 Moscato Muscat Canelli (Paso Robles)
Francia,,93,,Rhône Valley,Côte Rôtie,,Ensamblaje Tinto Tipo Rhône,Domaine Clusel-Roch,Domaine Clusel-Roch 1999  Côte Rôtie
Italia,Prugnolo,89,20.0,Tuscany,Rosso di Montepulciano,,Ensamblaje Tinto,Boscarelli,Boscarelli 2012 Prugnolo  (Rosso di Montepulciano)
Estados Unidos,Spur,91,45.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Lachini,Lachini 2007 Spur Cabernet Sauvignon (Columbia Valley (WA))
España,El Jefe de la Tribu,89,25.0,Levante,Valencia,,Ensamblaje Tinto,Angosto,Angosto 2011 El Jefe de la Tribu Red (Valencia)
Estados Unidos,Materium,93,150.0,California,Oakville,Napa,Bordeaux-style Red Blend,Maybach,Maybach 2010 Materium Red (Oakville)
Estados Unidos,5 Block,82,24.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Lumos,Lumos 2009 5 Block Pinot Noir (Willamette Valley)
Estados Unidos,Great Oak Vineyard,92,38.0,California,Russian River Valley,Sonoma,Pinot Noir,Joseph Swan Vineyards,Joseph Swan Vineyards 2005 Great Oak Vineyard Pinot Noir (Russian River Valley)
Francia,Occitania,90,18.0,Languedoc-Roussillon,Limoux,,Mauzac,Château Rives-Blanques,Château Rives-Blanques 2015 Occitania Mauzac (Limoux)
Italia,Modus,88,40.0,Tuscany,Toscana,,Sangiovese,Ruffino,Ruffino 1999 Modus Sangiovese (Toscana)
Estados Unidos,,84,30.0,California,Napa Valley,Napa,Sauvignon Blanc,Pine & Brown,Pine & Brown 2011 Sauvignon Blanc (Napa Valley)
Estados Unidos,Rebotarro Vineyard Old Vine,90,28.0,California,Pine Mountain-Cloverdale Peak,Sonoma,Carignane,Mounts,Mounts 2012 Rebotarro Vineyard Old Vine Carignane (Pine Mountain-Cloverdale Peak)
Australia,Thoroughbred,87,28.0,South Australia,Barossa Valley,,Cabernet Sauvignon,Stanley Lambert,Stanley Lambert 2002 Thoroughbred Cabernet Sauvignon (Barossa Valley)
Estados Unidos,,87,37.0,California,Russian River Valley,Sonoma,Pinot Noir,MacMurray Ranch,MacMurray Ranch 2006 Pinot Noir (Russian River Valley)
Grecia,Axia Syrah-Xinomavro,91,18.0,Florina,,,Ensamblaje Tinto,Alpha Estate,Alpha Estate 2010 Axia Syrah-Xinomavro Red (Florina)
Francia,Grande Réserve,90,17.0,Alsace,Alsace,,Riesling,Pierre Sparr,Pierre Sparr 2015 Grande Réserve Riesling (Alsace)
Estados Unidos,White,87,22.0,California,Napa Valley,Napa,Meritage,St. Supéry,St. Supéry 2000 White Meritage (Napa Valley)
Estados Unidos,Cuvée,91,45.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Prodigal,Prodigal 2015 Cuvée Pinot Noir (Sta. Rita Hills)
Italia,Pomona,91,105.0,Tuscany,Brunello di Montalcino,,Sangiovese,Villa Poggio Salvi,Villa Poggio Salvi 2011 Pomona  (Brunello di Montalcino)
Bulgaria,Single Vineyard,89,20.0,Thracian Valley,,,Tamianka,Bratanov,Bratanov 2015 Single Vineyard Tamianka (Thracian Valley)
España,,85,13.0,Levante,Jumilla,,Monastrell-Syrah,Marionette,Marionette 2012 Monastrell-Syrah (Jumilla)
Estados Unidos,Conley Vineyard,87,27.0,California,Dry Creek Valley,Sonoma,Grenache,Frick,Frick 2006 Conley Vineyard Grenache (Dry Creek Valley)
Estados Unidos,Sophia,90,29.0,Washington,Columbia Valley (WA),Columbia Valley,Ensamblaje Tinto,Mosquito Fleet,Mosquito Fleet 2011 Sophia Red (Columbia Valley (WA))
Estados Unidos,Wildcat Vineyard,87,49.0,California,Sonoma Coast,Sonoma,Pinot Noir,MacPhail,MacPhail 2013 Wildcat Vineyard Pinot Noir (Sonoma Coast)
Francia,Tradition,85,20.0,Loire Valley,Menetou-Salon,,Pinot Noir,Chavet Fils,Chavet Fils 2012 Tradition  (Menetou-Salon)
Alemania,Piesporter Goldtröpfchen Kabinett,90,23.0,Mosel,,,Riesling,Bischöfliche Weingüter Trier,Bischöfliche Weingüter Trier 2011 Piesporter Goldtröpfchen Kabinett Riesling (Mosel)
Estados Unidos,Cuvee 32,84,25.0,California,Alexander Valley,Sonoma,Ensamblaje Tinto,La Storia,La Storia 2006 Cuvee 32 Red (Alexander Valley)
Italia,D'Amblè,85,22.0,Piedmont,Langhe,,Sauvignon,Orlando Abrigo,Orlando Abrigo 2009 D'Amblè Sauvignon (Langhe)
Estados Unidos,,86,18.0,California,Yountville,Napa,Chardonnay,Hoopla,Hoopla 2006 Chardonnay (Yountville)
Francia,,91,20.0,Loire Valley,Vouvray,,Chenin Blanc,Domaine de Vodanis,Domaine de Vodanis NV  Vouvray
Italia,,90,53.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Ciacci Piccolomini d'Aragona,Ciacci Piccolomini d'Aragona 2004  Brunello di Montalcino
Estados Unidos,,88,70.0,California,Napa Valley,Napa,Cabernet Sauvignon,ZD,ZD 2013 Cabernet Sauvignon (Napa Valley)
Estados Unidos,Cold Creek Vineyard,88,16.0,Washington,Columbia Valley (WA),Columbia Valley,Riesling,Chateau Ste. Michelle,Chateau Ste. Michelle 2015 Cold Creek Vineyard Riesling (Columbia Valley (WA))
Italia,Anfora Breg,92,120.0,Northeastern Italy,Venezia Giulia,,Ensamblaje Blanco,Gravner,Gravner 2003 Anfora Breg White (Venezia Giulia)
Estados Unidos,,87,16.0,New York,Cayuga Lake,Finger Lakes,Pinot Gris,Hosmer,Hosmer 2010 Pinot Gris (Cayuga Lake)
Estados Unidos,Barrel Select Estate,89,28.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,David Hill,David Hill 2006 Barrel Select Estate Pinot Noir (Willamette Valley)
Estados Unidos,Maddie's Vineyard,88,61.0,California,Russian River Valley,Sonoma,Pinot Noir,C. Donatiello,C. Donatiello 2006 Maddie's Vineyard Pinot Noir (Russian River Valley)
Nueva Zelanda,,85,28.0,Marlborough,,,Pinot Noir,Framingham,Framingham 2010 Pinot Noir (Marlborough)
Argentina,,84,13.0,Mendoza,Mendoza,,Chardonnay,Marco Zunino,Marco Zunino 2014 Chardonnay (Mendoza)
Estados Unidos,Michael's Estate Vineyard,82,28.0,California,Paso Robles,Central Coast,Zinfandel,Adelaida,Adelaida 2007 Michael's Estate Vineyard Zinfandel (Paso Robles)
España,Cata de Consejero,92,48.0,Northern Spain,Rioja,,Tempranillo,Consejo de la Alta,Consejo de la Alta 2011 Cata de Consejero  (Rioja)
Italia,Riserva,87,140.0,Tuscany,Brunello di Montalcino,,Sangiovese,Tenuta di Sesta,Tenuta di Sesta 2009 Riserva  (Brunello di Montalcino)
Estados Unidos,,91,53.0,California,Russian River Valley,Sonoma,Chardonnay,Rochioli,Rochioli 2010 Chardonnay (Russian River Valley)
Italia,La Modonnina Riserva,87,19.0,Tuscany,Chianti Classico,,Ensamblaje Tinto,Triacca,Triacca 2012 La Modonnina Riserva  (Chianti Classico)
Estados Unidos,,92,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sol Rouge,Sol Rouge 2010 Cabernet Sauvignon (Napa Valley)
España,Clos Monlleó Gran Reserva,92,90.0,Catalonia,Priorat,,Ensamblaje Tinto,Sangenís I Vaqué,Sangenís I Vaqué 2000 Clos Monlleó Gran Reserva Red (Priorat)
España,,84,15.0,Northern Spain,Rioja,,Graciano,Burgo Viejo,Burgo Viejo 2015  Rioja
Estados Unidos,Estate,89,40.0,California,Santa Clara Valley,Central Coast,Pinot Noir,Sarah's Vineyard,Sarah's Vineyard 2014 Estate Pinot Noir (Santa Clara Valley)
Estados Unidos,Old Vine Reserve,94,38.0,California,Amador County,Sierra Foothills,Zinfandel,Scott Harvey,Scott Harvey 2012 Old Vine Reserve Zinfandel (Amador County)
Italia,Vigneto Bofani,89,75.0,Piedmont,Barolo,,Nebbiolo,Beni di Batasiolo,Beni di Batasiolo 2006 Vigneto Bofani  (Barolo)
España,,87,13.0,Northern Spain,Rioja,,Tempranillo,Obalo,Obalo 2009  Rioja
Italia,Poggio al Vento Riserva,90,150.0,Tuscany,Brunello di Montalcino,,Sangiovese,Col d'Orcia,Col d'Orcia 2010 Poggio al Vento Riserva  (Brunello di Montalcino)
Argentina,Estate,87,11.0,Otra,Cafayate,,Torrontés,Quara,Quara 2015 Estate Torrontés (Cafayate)
Estados Unidos,,91,34.0,Washington,Red Mountain,Columbia Valley,Roussanne,Doyenne,Doyenne 2007 Roussanne (Red Mountain)
